dst_port,flow_duration,fwd_bytes,bwd_bytes,flow_packets_per_sec,syn_flag_count,label
22,7244.210071796129,20.66099776857102,0.572570751473149,618.9312028447173,14,C2_BEACON
443,309766.22711593815,908.9575506443736,865.2425289629549,55.66324230402745,1,NORMAL
443,2749075.863958956,2176.8178209891425,2163.256753086053,87.73633368229034,0,NORMAL
53,1452228.6849527082,358.44242973963765,18267.484987440057,135.82366563895744,0,NORMAL
110,5273165.46303886,1213.97546524308,2307.7864774415284,41.74177681381359,2,NORMAL
4444,38958.89012012836,21.95052363230189,13.665939629736565,2188.0989953048984,4,BRUTE_FORCE
443,1479858.4458301167,2344.4057492982715,5259.864153010454,86.95806757918322,1,NORMAL
1337,964934.1453567775,52.0776099004646,2.7578187664783673,432.91543017216827,10,EXFILTRATION
1337,214414.95747841083,695.1883131558127,5.804522966470744,514.7988587279907,8,PORTSCAN
80,7985423.7716492135,224.56256618765423,1587.9015562676143,30.38544233309163,2,NORMAL
25,938194.1434491007,695.5184765445407,5458.806532966787,62.30708311372075,0,NORMAL
3389,151524.87227768646,43.79964064145305,1.2395337624586413,798.7574073764345,7,EXFILTRATION
3389,3481.4268878626535,25.31668492103291,194.11774217943048,265.33087817055616,7,C2_BEACON
1337,38481.63701851071,44.72015850134126,4.940358076406703,139.44795886385788,7,EXFILTRATION
443,9120022.884316284,6188.932850262618,933.8299118541032,20.44250730863448,1,NORMAL
4444,95404.23602042193,5.23961017702497,14.063553367801582,14.586730447983582,10,BRUTE_FORCE
80,1366045.7880636798,2678.971810806529,1919.9210523280224,34.474535249829735,0,NORMAL
1337,184801.4375097293,0.596537338083995,41.76517275193431,365.46157539493345,6,PORTSCAN
4444,123813.43661343322,36.807636521452274,576.9445982514073,1023.1326679256665,6,EXFILTRATION
3389,113972.28779021163,7.008682189899071,85.71629366667432,273.4143446096958,1,EXFILTRATION
1337,3595.6986800402497,31.96124622307147,31.960018830779372,973.5914076695024,15,PORTSCAN
80,11220310.211425006,804.5548862789137,2272.9234505917384,30.495564138747493,0,NORMAL
53,5607659.2191498205,765.7596685570261,1918.7471284158946,45.021281990969385,0,NORMAL
1337,666052.0483903373,1255.376306270216,2.351093025029206,731.3895766109687,8,PORTSCAN
25,11199675.371264812,2833.4863954715706,5246.395167154322,67.63016069710027,1,NORMAL
3389,20771.87848099002,107.49940545207035,6.9509610092416185,430.9020615635645,4,PORTSCAN
110,4789350.851774626,248.5293461707236,1165.5524462702533,220.9443585012737,1,NORMAL
22,199375.19769071907,3.058679408320568,9.274911749831023,61.68273090137203,10,EXFILTRATION
1337,11265.754272701924,19.629898967622623,9.189601665435065,26.26608052804595,8,EXFILTRATION
4444,82852.12482179947,2.7723438211293865,16.727431854544914,768.4803166749389,12,PORTSCAN
443,14140944.351988984,912.2491403576036,6768.925296126872,44.78636501480361,1,NORMAL
110,824256.3686965274,265.22189187552027,1295.435107050907,201.70511499126383,0,NORMAL
80,15016781.4615444,2043.4178845603624,1102.1402971716927,84.80679572683168,6,NORMAL
443,1879794.2044150168,338.95170276770284,4786.01231301399,12.605403565021533,3,NORMAL
1337,521994.7786680331,16.94869974092686,40.942236601825165,256.66407332710304,8,BRUTE_FORCE
80,6699931.704931811,1106.9849691090499,1949.363786114961,25.61326955376217,2,NORMAL
8080,858737.566479058,41.96396038829601,187.25038812811925,376.45003192046454,8,C2_BEACON
25,2520385.781542645,4426.808091350309,6666.328948577374,27.98264255194004,2,NORMAL
80,3159895.763484491,520.6204287211103,1573.0295598982948,16.94495076073306,1,NORMAL
22,35083.207194458184,92.41363785837618,6.100738190078217,193.54356589673222,8,EXFILTRATION
22,398856.01556966535,23.593844105982615,125.04538709131864,75.89710982184783,10,EXFILTRATION
110,8696322.232632998,761.1628934547517,5315.388549670295,206.94483897343378,0,NORMAL
3389,174808.63786519572,62.71833378749338,17.132832706858178,183.02700751066206,7,PORTSCAN
110,3386386.1790165687,899.591019064491,1656.7938624094145,12.446771695942472,0,NORMAL
1337,160402.93560016318,5440.2346884665,19.620640267954506,9.673973454992437,10,PORTSCAN
443,2235143.9594779685,472.74233126885366,2710.0553617019955,15.097604551519051,1,NORMAL
443,655735.0877783849,316.4383430560424,2291.884524009209,24.272024047863574,2,NORMAL
53,34083633.82162784,2706.7953428068986,2948.643895160286,107.08834743175282,3,NORMAL
